Customer ID,Total_Sales,Total_Profit,Total_Quantity,Order_Count,Average_Order_Value,Cluster
AA-10315,5563.56,-362.8825000000002,30,5,505.77818181818185,1
AA-10375,1056.39,277.3824,41,9,70.426,1
AA-10480,1790.512,435.82739999999995,36,4,149.20933333333332,1
AA-10645,5086.9349999999995,857.8032999999998,64,6,282.60749999999996,0
AB-10015,886.156,129.3465,13,3,147.69266666666667,1
AB-10060,7755.620000000001,2054.5885,56,8,430.8677777777778,0
AB-10105,14473.570999999998,5444.8055,73,10,723.6785499999999,0
AB-10150,966.71,313.6597,37,5,80.55916666666667,1
AB-10165,1113.838,220.813,48,8,79.55985714285714,1
AB-10255,914.532,264.5675,39,9,65.32371428571429,1
AB-10600,1515.862,-274.96040000000016,38,4,189.48275,1
AC-10420,925.8000000000001,-62.13420000000007,17,3,185.16000000000003,1
AC-10450,5527.846,1366.0097999999998,43,7,614.205111111111,0
AC-10615,2537.6859999999997,298.82730000000004,59,5,140.98255555555554,1
AC-10660,657.316,-28.70040000000001,16,5,109.55266666666667,1
AD-10180,6106.88,1869.9293999999998,40,8,508.9066666666667,0
AF-10870,2052.908,317.97120000000007,51,7,128.30675,1
AF-10885,861.565,-163.1175,37,4,123.0807142857143,1
AG-10270,2582.8979999999997,732.7398999999998,58,5,184.49271428571427,1
AG-10300,367.548,59.288399999999996,16,4,73.5096,1
AG-10330,660.972,-5.137100000000007,47,5,73.44133333333333,1
AG-10390,200.945,69.2784,33,5,25.118125,1
AG-10495,2356.855,295.6668000000001,93,8,112.23119047619048,0
AG-10525,1455.038,-152.76130000000006,33,4,161.6708888888889,1
AG-10675,3489.0396,-246.4257000000001,54,7,232.60264,1
AG-10765,170.584,-8.431000000000026,20,4,34.1168,1
AG-10900,4510.7970000000005,343.68239999999986,92,10,214.79985714285718,0
AH-10030,1744.7,365.2151999999999,54,7,158.60909090909092,1
AH-10075,3250.337,281.1889999999999,75,10,162.51685,0
AH-10120,1735.5140000000001,-2.3146000000000413,65,7,108.46962500000001,1
AH-10195,1587.4520000000002,-378.5508999999999,28,4,198.43150000000003,1
AH-10210,4805.344,1308.5546,53,9,369.64184615384613,0
AH-10465,2495.3916,-196.12010000000024,35,5,311.92395,1
AH-10585,738.504,83.96300000000002,17,4,147.70080000000002,1
AH-10690,7888.294,1298.0165999999995,102,12,342.9693043478261,0
AI-10855,4375.786,867.7271000000001,72,10,243.09922222222224,0
AJ-10780,4867.344,150.71299999999982,62,7,324.4896,0
AJ-10795,4501.391,1158.7063999999998,88,7,214.35195238095235,0
AJ-10945,1839.24,521.1351999999999,40,7,183.924,1
AJ-10960,629.2479999999999,60.42649999999998,22,3,125.84959999999998,1
AM-10360,814.012,194.9878,48,5,67.83433333333333,1
AM-10705,5664.022,1085.7325999999998,81,8,257.4555454545455,0
AO-10810,161.28,12.095999999999997,2,1,161.28,1
AP-10720,1638.554,285.7887999999999,85,8,86.23968421052632,0
AP-10915,3323.5560000000005,579.3112999999998,102,10,107.21148387096775,0
AR-10345,1055.694,-221.0544000000001,18,4,211.1388,1
AR-10405,2236.1279999999997,-98.76459999999983,29,5,319.4468571428571,1
AR-10510,264.86400000000003,43.66949999999999,33,5,37.83771428571429,1
AR-10540,6608.448,2884.6207999999997,33,6,734.272,0
AR-10570,88.15,32.632999999999996,6,1,44.075,1
AR-10825,4523.336,494.8352,54,8,347.9489230769231,0
AS-10045,3050.692,-253.5746000000003,48,7,305.0692,1
AS-10090,3255.31,64.53739999999996,81,9,130.2124,0
AS-10135,58.82,21.8496,9,2,19.606666666666666,1
AS-10225,4260.784,719.7750999999998,41,5,327.75261538461535,1
AS-10240,584.6080000000001,33.71579999999997,39,7,44.969846153846156,1
AS-10285,3214.236,354.6276,39,6,401.7795,1
AS-10630,833.398,136.49189999999996,34,7,69.44983333333333,1
AT-10435,1171.814,100.87679999999999,28,6,130.20155555555556,1
AT-10735,3831.864,974.107,60,10,239.4915,0
AW-10840,649.3760000000001,65.77249999999998,24,4,81.17200000000001,1
AW-10930,2852.9680000000003,-104.54860000000016,68,7,178.31050000000002,0
AY-10555,497.014,103.34989999999999,34,4,49.7014,1
AZ-10750,1622.018,154.95029999999997,40,6,135.16816666666668,1
BB-10990,744.34,11.58389999999996,26,5,93.0425,1
BB-11545,6765.728,1015.0749999999995,83,9,338.2864,0
BC-11125,2933.6760000000004,251.5974,60,9,162.98200000000003,0
BD-11320,5718.521000000001,1094.5036999999998,75,12,300.97478947368427,0
